Generation,Density 0,1,Density 0,3,Density 0,5,Density 0,6,Density 0,7
313,NA,155,74,71,NA
314,NA,137,75,87,NA
315,NA,150,85,73,NA
316,NA,152,73,76,NA
317,NA,130,83,77,NA
318,NA,153,82,57,NA
319,NA,116,87,59,NA
320,NA,98,89,51,NA
321,NA,91,88,52,NA
322,NA,78,87,48,NA
323,NA,90,92,53,NA
324,NA,84,98,59,NA
325,NA,68,85,59,NA
326,NA,68,77,68,NA
327,NA,76,85,60,NA
328,NA,74,73,74,NA
329,NA,84,77,77,NA
330,NA,74,68,75,NA
331,NA,82,68,90,NA
332,NA,78,65,89,NA
333,NA,78,63,90,NA
334,NA,83,66,87,NA
335,NA,79,58,81,NA
336,NA,80,67,92,NA
337,NA,74,60,90,NA
338,NA,89,69,93,NA
339,NA,70,67,95,NA
340,NA,75,82,90,NA
341,NA,73,70,102,NA
342,NA,75,77,95,NA
343,NA,73,73,103,NA
344,NA,66,76,91,NA
345,NA,61,81,105,NA
346,NA,55,73,87,NA
347,NA,57,66,98,NA
348,NA,58,51,94,NA
349,NA,61,52,93,NA
350,NA,66,51,96,NA
351,NA,62,49,92,NA
352,NA,63,55,92,NA
353,NA,68,50,98,NA
354,NA,57,54,100,NA
355,NA,55,60,89,NA
356,NA,64,54,108,NA
357,NA,62,57,98,NA
358,NA,65,63,112,NA
359,NA,70,69,116,NA
360,NA,74,66,134,NA
361,NA,70,64,113,NA
362,NA,75,67,114,NA
363,NA,70,72,119,NA
364,NA,68,59,125,NA
365,NA,68,56,116,NA
366,NA,67,51,123,NA
367,NA,75,48,127,NA
368,NA,75,48,114,NA
369,NA,80,51,99,NA
370,NA,71,49,90,NA
371,NA,66,54,78,NA
372,NA,72,51,80,NA
373,NA,70,59,83,NA
374,NA,66,48,85,NA
375,NA,66,48,94,NA
376,NA,66,47,119,NA
377,NA,73,48,90,NA
378,NA,73,48,98,NA
379,NA,85,49,98,NA
380,NA,78,53,113,NA
